SITE CODE= 77029 ëÂç„ñkãÊíÉâÆí¨
 LAT.=   34.7054
 LON.=  135.5023
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2018 06 18 07 58 20
 NS,EW,UD
0.015,-0.019,0.119
0.005,-0.005,0.059
0.032,0.021,0.040
0.020,-0.002,-0.030
0.026,-0.009,-0.123
0.021,-0.007,-0.048
-0.007,-0.004,0.035
-0.014,0.024,0.036
-0.028,0.028,-0.055
0.008,-0.012,-0.123
0.031,-0.053,0.004
-0.002,-0.025,0.122
-0.024,0.031,0.041
0.000,0.027,-0.068
0.024,0.022,-0.044
-0.018,0.029,-0.049
-0.061,0.003,-0.049
-0.070,-0.022,0.063
-0.009,-0.023,0.068
0.038,0.015,0.053
-0.006,0.025,0.045
0.019,-0.004,-0.083
0.016,0.019,-0.076
-0.048,-0.017,0.034
0.002,-0.046,0.086
0.028,0.011,0.092
-0.009,-0.016,-0.004
-0.018,-0.039,-0.035
0.007,-0.014,-0.008
0.044,-0.012,0.001
0.017,0.011,0.067
0.020,0.051,0.069
0.032,0.059,0.015
-0.036,-0.007,-0.108
-0.024,-0.029,-0.170
0.059,0.019,0.000
0.015,0.004,0.113
-0.064,-0.041,0.008
0.022,-0.021,-0.142
0.068,0.029,-0.142
0.000,0.027,-0.057
0.007,0.029,0.068
0.012,0.011,0.183
-0.018,-0.036,0.054
-0.021,-0.034,-0.063
-0.033,-0.039,-0.013
-0.051,-0.031,-0.016
-0.022,-0.012,0.045
0.027,0.007,0.093
0.030,0.023,0.036
0.034,-0.010,0.069
0.030,0.004,0.018
-0.015,0.018,-0.060
-0.031,-0.019,0.021
-0.015,-0.021,0.038
-0.012,-0.006,0.001
0.029,0.006,-0.040
0.087,0.001,-0.067
0.065,0.029,-0.031
-0.019,0.079,-0.049
-0.105,-0.004,-0.110
-0.088,-0.107,-0.090
0.000,-0.065,0.071
0.019,0.026,0.092
0.032,0.018,-0.059
0.038,-0.016,0.017
-0.013,0.031,0.141
-0.022,0.015,0.067
-0.021,-0.031,0.013
-0.043,0.010,0.002
-0.005,0.063,-0.014
0.018,0.074,0.067
0.005,0.025,0.093
0.037,0.004,-0.014
0.059,0.011,-0.099
0.043,-0.014,-0.118
0.017,-0.006,-0.052
-0.006,-0.010,0.013
0.006,0.001,0.044
-0.008,0.032,0.017
-0.060,-0.014,-0.103
-0.049,-0.043,-0.116
0.011,-0.016,0.035
0.019,0.005,0.159
-0.022,-0.025,0.038
0.014,-0.041,-0.127
0.042,0.002,-0.098
-0.035,-0.010,-0.120
-0.014,0.024,-0.031
0.030,0.055,0.184
-0.026,0.011,0.083
