SITE CODE= 41213íﬂâ™ésînèÍí¨
 LAT.=   38.7271
 LON.=  139.8274
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2019 06 18 22 22 10
 NS,EW,UD
-0.025,0.015,0.002
-0.018,-0.000,-0.002
0.000,-0.019,-0.010
0.016,-0.025,-0.009
0.018,-0.011,0.005
0.007,0.014,0.020
-0.007,0.029,0.019
-0.016,0.019,-0.003
-0.014,-0.008,-0.030
-0.004,-0.031,-0.036
0.008,-0.030,-0.013
0.012,-0.006,0.020
0.009,0.018,0.036
0.000,0.023,0.021
-0.007,0.006,-0.009
-0.010,-0.016,-0.033
-0.008,-0.022,-0.032
-0.002,-0.009,-0.009
0.004,0.011,0.016
0.008,0.020,0.027
0.007,0.009,0.017
0.003,-0.011,-0.005
-0.000,-0.023,-0.026
-0.002,-0.018,-0.028
0.000,0.002,-0.006
0.003,0.024,0.023
0.005,0.030,0.039
0.003,0.016,0.026
-0.001,-0.007,-0.007
-0.006,-0.024,-0.031
-0.007,-0.021,-0.025
-0.002,-0.002,0.001
0.004,0.014,0.019
0.009,0.015,0.010
0.009,0.001,-0.014
0.004,-0.009,-0.026
-0.002,-0.006,-0.011
-0.007,0.009,0.018
-0.008,0.018,0.031
-0.005,0.009,0.017
0.000,-0.012,-0.010
0.002,-0.028,-0.025
0.003,-0.022,-0.015
0.002,-0.000,0.007
0.000,0.018,0.021
-0.000,0.018,0.016
-0.000,0.001,-0.004
0.000,-0.015,-0.019
0.000,-0.017,-0.014
0.001,-0.001,0.006
0.001,0.015,0.025
0.001,0.017,0.025
0.001,-0.000,0.005
0.002,-0.023,-0.016
0.002,-0.031,-0.024
0.001,-0.016,-0.013
-0.000,0.012,0.002
-0.000,0.031,0.009
0.001,0.026,-0.000
0.001,0.002,-0.012
-0.000,-0.019,-0.013
-0.002,-0.021,-0.003
-0.003,-0.006,0.011
-0.002,0.012,0.016
0.000,0.018,0.009
0.002,0.007,-0.003
0.002,-0.007,-0.009
0.002,-0.013,-0.003
0.002,-0.005,0.010
0.000,0.007,0.020
-0.002,0.013,0.018
-0.003,0.006,0.004
-0.002,-0.008,-0.010
0.001,-0.019,-0.016
0.003,-0.018,-0.012
0.002,-0.006,-0.003
-0.002,0.007,0.002
-0.005,0.014,0.001
-0.007,0.007,-0.002
-0.005,-0.002,-0.003
-0.002,-0.007,0.000
0.000,-0.002,0.004
0.003,0.008,0.008
0.005,0.012,0.008
0.006,0.004,0.005
0.004,-0.011,-0.001
0.000,-0.020,-0.010
-0.004,-0.016,-0.015
-0.003,0.000,-0.011
0.002,0.014,0.002
0.007,0.014,0.016
0.007,0.000,0.018
0.002,-0.015,0.004
-0.002,-0.019,-0.012
-0.004,-0.007,-0.019
-0.003,0.008,-0.013
-0.001,0.017,-0.000
-0.002,0.012,0.006
-0.002,-0.001,0.004
-0.002,-0.010,-0.003
-0.001,-0.007,-0.007
-0.002,0.003,-0.004
-0.003,0.009,0.001
0.000,0.003,0.004
0.005,-0.009,0.001
0.009,-0.017,-0.002
0.006,-0.012,-0.003
-0.003,0.001,-0.000
-0.012,0.012,0.002
-0.013,0.012,0.002
-0.005,0.001,-0.000
0.005,-0.007,-0.003
0.009,-0.006,-0.003
0.005,0.001,0.001
-0.002,0.007,0.004
-0.004,0.004,0.002
-0.002,-0.006,-0.003
0.002,-0.014,-0.009
0.001,-0.011,-0.011
-0.002,0.001,-0.009
-0.005,0.014,-0.004
-0.003,0.016,0.002
0.002,0.005,0.009
0.006,-0.007,0.012
0.006,-0.014,0.011
0.003,-0.009,0.005
0.000,0.001,-0.000
-0.002,0.005,-0.003
-0.002,0.000,-0.004
0.000,-0.011,-0.007
0.002,-0.017,-0.012
0.001,-0.011,-0.013
-0.001,0.004,-0.003
-0.004,0.015,0.012
-0.004,0.014,0.027
0.001,0.000,0.023
0.007,-0.014,-0.000
0.006,-0.017,-0.029
0.000,-0.007,-0.038
-0.006,0.010,-0.018
-0.005,0.021,0.017
0.000,0.020,0.041
0.005,0.007,0.032
0.005,-0.009,-0.002
0.000,-0.021,-0.033
-0.004,-0.024,-0.036
-0.002,-0.016,-0.011
0.002,-0.001,0.015
0.005,0.011,0.019
0.002,0.014,0.000
-0.004,0.005,-0.016
-0.009,-0.003,-0.012
-0.008,-0.004,0.010
-0.002,0.002,0.030
0.004,0.011,0.029
0.007,0.007,0.007
0.004,-0.005,-0.016
0.000,-0.016,-0.025
-0.003,-0.012,-0.015
-0.004,0.005,0.002
-0.004,0.021,0.016
-0.002,0.019,0.018
0.000,-0.000,0.010
0.004,-0.021,0.001
0.005,-0.025,-0.005
0.004,-0.012,-0.010
0.000,0.004,-0.013
-0.002,0.010,-0.014
0.000,0.005,-0.009
0.005,-0.002,0.002
