SITE CODE= 65034’·‰ªŽs’†”V“‡            ,37.4962,137.2705, 15.86,7.6,45292.6738723, 23.12, 39.73
 LAT.=   37.5478
 LON.=  138.8773
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 30
 NS,EW,UD
-0.013,-0.024,-0.016
-0.017,-0.025,-0.017
-0.020,-0.024,-0.017
-0.021,-0.023,-0.019
-0.023,-0.021,-0.021
-0.022,-0.019,-0.021
-0.022,-0.018,-0.022
-0.026,-0.016,-0.020
-0.023,-0.015,-0.012
-0.023,-0.010,-0.007
-0.023,-0.010,-0.004
-0.024,-0.011,-0.002
-0.030,-0.011,-0.003
-0.031,-0.011,-0.004
-0.031,-0.012,-0.002
-0.031,-0.013,-0.002
-0.031,-0.009,-0.003
-0.030,-0.009,-0.002
-0.031,-0.007,0.000
-0.031,-0.002,0.001
-0.029,-0.001,0.002
-0.027,0.005,0.005
-0.026,0.007,0.004
-0.024,0.006,0.001
-0.018,0.009,0.003
-0.018,0.008,0.007
-0.021,0.007,0.010
-0.018,0.009,0.011
-0.017,0.011,0.009
-0.020,0.010,0.005
-0.024,0.009,0.001
-0.025,0.007,0.003
-0.026,0.006,0.009
-0.029,0.008,0.016
-0.027,0.009,0.020
-0.021,0.011,0.018
-0.019,0.010,0.022
-0.018,0.016,0.035
-0.012,0.022,0.039
-0.005,0.023,0.033
-0.002,0.031,0.029
0.000,0.033,0.025
0.005,0.029,0.021
0.005,0.032,0.027
0.009,0.031,0.032
0.013,0.031,0.031
0.014,0.032,0.031
0.018,0.032,0.029
0.021,0.033,0.025
0.024,0.031,0.028
0.029,0.034,0.031
0.034,0.037,0.026
0.037,0.041,0.022
0.038,0.044,0.025
0.038,0.041,0.022
0.041,0.041,0.017
0.049,0.045,0.017
0.055,0.046,0.015
0.061,0.045,0.012
0.058,0.041,0.010
0.053,0.036,0.014
0.051,0.036,0.019
0.052,0.036,0.021
0.054,0.039,0.022
0.053,0.042,0.011
0.054,0.039,0.000
0.053,0.038,-0.012
0.051,0.041,-0.022
0.055,0.045,-0.020
0.056,0.047,-0.014
0.059,0.049,0.005
0.063,0.053,0.026
0.065,0.055,0.039
0.062,0.058,0.051
0.066,0.058,0.049
0.064,0.058,0.033
0.062,0.062,0.012
0.064,0.062,-0.014
0.056,0.058,-0.040
0.051,0.056,-0.046
0.045,0.050,-0.040
0.042,0.044,-0.025
0.046,0.040,-0.005
0.046,0.033,0.013
0.046,0.032,0.028
0.042,0.026,0.034
0.043,0.021,0.027
0.048,0.027,0.000
0.051,0.030,-0.031
0.054,0.034,-0.048
0.055,0.032,-0.054
0.059,0.026,-0.043
0.064,0.026,-0.028
0.064,0.020,-0.017
0.064,0.014,-0.000
0.062,0.004,0.014
0.053,-0.010,0.019
0.042,-0.013,0.026
0.032,-0.018,0.020
0.029,-0.015,-0.004
0.022,-0.008,-0.024
0.016,-0.015,-0.038
0.016,-0.022,-0.043
0.014,-0.031,-0.038
0.017,-0.035,-0.024
0.017,-0.035,-0.004
0.014,-0.038,0.013
0.010,-0.034,0.020
0.008,-0.031,0.018
0.010,-0.027,0.009
0.003,-0.021,-0.000
-0.001,-0.018,-0.004
-0.002,-0.014,-0.007
-0.005,-0.014,-0.009
-0.005,-0.017,-0.008
-0.010,-0.021,-0.006
-0.020,-0.023,-0.001
-0.021,-0.019,-0.002
-0.018,-0.016,-0.004
-0.018,-0.014,-0.005
-0.022,-0.016,-0.003
-0.028,-0.013,-0.002
-0.030,-0.004,-0.011
-0.028,0.003,-0.021
-0.020,0.010,-0.024
-0.012,0.008,-0.026
-0.012,0.010,-0.021
-0.010,0.018,-0.014
-0.011,0.022,-0.014
-0.012,0.031,-0.020
-0.010,0.031,-0.035
-0.017,0.021,-0.061
-0.019,0.018,-0.073
-0.021,0.013,-0.080
-0.025,0.011,-0.078
-0.025,0.022,-0.064
-0.026,0.023,-0.053
-0.029,0.025,-0.031
-0.030,0.024,-0.015
-0.032,0.015,-0.005
-0.036,0.021,0.015
-0.040,0.019,0.028
-0.040,0.017,0.038
-0.031,0.020,0.049
-0.027,0.018,0.051
-0.028,0.025,0.042
-0.019,0.021,0.026
-0.015,0.017,0.013
