SITE CODE= 47274éÏèFéséOçËí¨            ,37.4962,137.2705, 15.86,7.6,45292.6738723,  3.16,  5.38
 LAT.=   37.4504
 LON.=  137.3589
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 09 50
 NS,EW,UD
0.009,0.039,-0.008
0.013,0.077,-0.003
0.010,0.094,0.016
0.008,0.081,0.020
0.010,0.043,0.004
0.013,0.007,-0.005
0.007,-0.013,0.011
-0.006,-0.023,0.033
-0.013,-0.038,0.031
-0.006,-0.052,0.006
0.010,-0.037,-0.013
0.023,0.015,-0.013
0.031,0.070,0.003
0.032,0.079,0.023
0.022,0.029,0.039
0.003,-0.045,0.037
-0.017,-0.092,0.006
-0.030,-0.082,-0.031
-0.030,-0.022,-0.035
-0.015,0.063,0.004
0.017,0.131,0.042
0.054,0.136,0.037
0.072,0.062,0.005
0.053,-0.054,-0.012
0.004,-0.137,-0.002
-0.043,-0.128,0.005
-0.063,-0.040,-0.001
-0.047,0.062,-0.004
-0.001,0.113,0.007
0.055,0.091,0.012
0.089,0.023,-0.001
0.069,-0.041,-0.013
0.002,-0.058,-0.004
-0.063,-0.023,0.007
-0.073,0.030,-0.007
-0.032,0.054,-0.030
0.009,0.038,-0.022
0.012,0.004,0.015
-0.011,-0.016,0.035
-0.023,-0.018,0.011
-0.007,-0.012,-0.023
0.014,-0.009,-0.024
0.019,-0.010,-0.001
0.007,-0.017,0.007
-0.006,-0.026,-0.007
-0.010,-0.021,-0.015
-0.011,0.008,-0.002
-0.020,0.044,0.011
-0.030,0.058,0.007
-0.025,0.037,0.001
0.001,0.002,0.004
0.031,-0.018,0.000
0.035,-0.018,-0.021
0.003,-0.005,-0.033
-0.035,0.013,-0.007
-0.049,0.032,0.035
-0.033,0.037,0.033
-0.016,0.022,-0.015
-0.014,-0.001,-0.041
-0.018,-0.006,0.001
-0.009,0.009,0.057
0.006,0.021,0.043
0.007,0.016,-0.031
-0.013,0.004,-0.070
-0.034,0.001,-0.028
-0.035,0.001,0.032
-0.021,-0.003,0.035
-0.011,0.002,0.001
-0.014,0.033,-0.003
-0.022,0.070,0.024
-0.025,0.065,0.031
-0.023,0.006,0.006
-0.016,-0.061,-0.007
-0.002,-0.081,0.008
0.016,-0.054,0.011
0.027,-0.018,-0.014
0.021,0.002,-0.024
0.000,0.018,0.013
-0.029,0.042,0.050
-0.063,0.066,0.031
-0.090,0.072,-0.019
-0.090,0.056,-0.032
-0.050,0.029,0.001
0.014,0.004,0.027
0.062,-0.005,0.015
0.071,0.001,-0.002
0.049,-0.002,0.007
0.016,-0.044,0.025
-0.022,-0.114,0.019
-0.059,-0.151,-0.007
-0.071,-0.103,-0.022
-0.044,0.018,-0.015
0.002,0.137,-0.000
0.025,0.178,0.006
0.014,0.110,0.004
-0.002,-0.041,-0.001
-0.001,-0.198,-0.009
-0.005,-0.266,-0.014
-0.036,-0.187,-0.008
-0.070,-0.004,0.011
-0.051,0.152,0.030
0.026,0.169,0.029
0.097,0.048,0.003
0.096,-0.109,-0.027
0.025,-0.193,-0.033
-0.056,-0.173,-0.013
-0.094,-0.088,0.009
-0.071,-0.002,0.014
-0.000,0.043,0.009
0.079,0.035,0.014
0.115,-0.007,0.026
0.073,-0.051,0.028
-0.025,-0.071,0.009
-0.108,-0.067,-0.018
-0.122,-0.060,-0.030
-0.069,-0.063,-0.017
0.008,-0.070,0.012
0.067,-0.059,0.031
0.086,-0.027,0.024
0.062,0.006,0.001
0.012,0.009,-0.008
-0.028,-0.027,0.008
-0.029,-0.086,0.026
0.001,-0.134,0.021
0.025,-0.143,0.000
0.019,-0.100,-0.014
-0.004,-0.019,-0.015
-0.013,0.055,-0.004
0.002,0.074,0.023
0.027,0.027,0.057
0.040,-0.048,0.065
0.033,-0.105,0.025
0.014,-0.128,-0.027
-0.000,-0.125,-0.030
0.002,-0.090,0.015
0.021,-0.019,0.050
0.040,0.063,0.038
0.038,0.104,0.007
0.019,0.075,-0.002
0.004,0.005,0.004
0.013,-0.057,0.001
0.038,-0.075,-0.006
0.058,-0.045,0.003
0.059,0.016,0.024
0.042,0.068,0.031
0.014,0.063,0.021
-0.014,-0.015,0.003
-0.028,-0.114,-0.013
-0.017,-0.157,-0.023
0.013,-0.115,-0.012
0.040,-0.031,0.022
0.049,0.031,0.042
0.048,0.046,0.012
0.044,0.028,-0.038
0.036,-0.001,-0.044
0.017,-0.025,0.002
-0.006,-0.032,0.041
-0.012,-0.016,0.030
0.008,0.006,0.001
0.045,-0.002,-0.001
0.072,-0.050,0.015
0.062,-0.100,0.014
0.011,-0.103,-0.002
-0.053,-0.049,-0.010
-0.073,0.017,-0.007
-0.017,0.043,-0.011
0.081,0.031,-0.012
0.141,0.018,0.014
0.119,0.024,0.053
0.049,0.023,0.061
0.001,-0.012,0.023
0.000,-0.067,-0.019
0.012,-0.091,-0.027
0.004,-0.055,-0.011
-0.011,0.021,0.000
0.000,0.088,-0.002
0.034,0.103,-0.008
0.054,0.051,-0.010
0.036,-0.045,-0.000
0.001,-0.126,0.025
-0.008,-0.130,0.044
0.023,-0.046,0.025
0.063,0.059,-0.022
0.070,0.098,-0.039
0.040,0.045,0.002
0.005,-0.047,0.050
0.001,-0.098,0.038
0.022,-0.070,-0.018
0.033,0.010,-0.042
0.013,0.081,-0.010
-0.010,0.092,0.021
0.007,0.039,0.003
0.063,-0.029,-0.030
0.108,-0.056,-0.021
0.093,-0.026,0.022
0.023,0.023,0.044
-0.047,0.047,0.017
-0.067,0.037,-0.026
-0.037,0.020,-0.039
0.004,0.012,-0.014
0.020,0.009,0.018
0.017,0.000,0.022
0.022,-0.006,-0.006
0.047,-0.002,-0.036
0.066,0.010,-0.031
0.046,0.017,0.004
-0.010,0.017,0.022
-0.052,0.017,-0.007
-0.042,0.015,-0.052
0.002,0.008,-0.054
0.025,-0.001,-0.008
0.005,0.001,0.027
-0.024,0.019,0.009
-0.020,0.032,-0.033
0.012,0.016,-0.042
0.035,-0.021,-0.008
0.029,-0.042,0.015
0.005,-0.018,-0.005
-0.017,0.033,-0.040
-0.033,0.063,-0.046
-0.036,0.047,-0.021
-0.011,0.003,-0.002
0.036,-0.032,-0.010
0.072,-0.035,-0.026
0.062,-0.011,-0.025
0.008,0.017,-0.007
-0.049,0.031,0.009
-0.070,0.023,0.005
-0.050,0.007,-0.015
-0.013,0.000,-0.037
0.013,0.011,-0.046
0.016,0.034,-0.035
0.003,0.053,-0.012
-0.007,0.055,0.003
-0.002,0.031,-0.003
0.013,-0.016,-0.020
0.025,-0.062,-0.028
0.022,-0.073,-0.019
0.001,-0.032,-0.004
-0.030,0.036,-0.004
-0.053,0.084,-0.021
-0.048,0.080,-0.036
-0.010,0.036,-0.030
0.035,-0.015,-0.002
0.058,-0.045,0.019
0.049,-0.051,0.013
0.027,-0.033,-0.013
0.002,-0.001,-0.026
-0.027,0.032,-0.008
-0.062,0.047,0.020
-0.080,0.034,0.024
-0.064,0.008,0.000
-0.025,-0.011,-0.022
0.006,-0.011,-0.017
0.020,-0.003,0.008
0.028,-0.004,0.024
0.035,-0.012,0.020
0.031,-0.013,0.006
0.007,0.006,-0.005
-0.025,0.033,-0.011
-0.045,0.044,-0.008
-0.044,0.033,0.007
-0.028,0.015,0.022
-0.006,0.003,0.019
0.013,-0.007,-0.003
0.016,-0.022,-0.014
-0.000,-0.038,0.002
-0.019,-0.041,0.024
-0.021,-0.032,0.021
-0.009,-0.021,0.004
0.001,-0.010,0.005
0.002,0.009,0.022
-0.004,0.032,0.023
-0.013,0.043,-0.003
-0.029,0.026,-0.018
-0.043,-0.009,0.003
-0.037,-0.033,0.030
-0.010,-0.029,0.027
0.013,-0.005,0.002
0.015,0.015,-0.004
0.008,0.012,0.014
0.016,-0.006,0.023
0.030,-0.022,0.008
0.014,-0.021,-0.008
-0.035,-0.004,-0.005
-0.075,0.017,0.010
-0.061,0.032,0.018
-0.000,0.040,0.019
0.055,0.037,0.021
0.067,0.019,0.020
0.039,-0.009,0.011
-0.004,-0.028,0.006
-0.042,-0.023,0.011
-0.064,0.001,0.015
-0.061,0.023,0.010
-0.033,0.024,0.006
0.001,0.004,0.013
0.018,-0.021,0.024
0.016,-0.032,0.020
0.013,-0.021,0.004
0.020,0.005,-0.002
0.022,0.030,0.008
0.010,0.040,0.021
-0.008,0.036,0.028
-0.012,0.026,0.033
0.002,0.013,0.034
0.014,-0.002,0.022
0.007,-0.016,-0.000
-0.009,-0.022,-0.010
-0.016,-0.019,0.006
-0.008,-0.012,0.028
0.003,-0.012,0.030
0.008,-0.016,0.014
0.007,-0.014,0.006
0.004,-0.001,0.013
0.000,0.015,0.023
-0.004,0.018,0.024
-0.006,0.003,0.025
-0.001,-0.020,0.029
0.009,-0.027,0.028
0.022,-0.007,0.020
0.032,0.031,0.016
