SITE CODE= 47600—Ö“‡Žs–PŽŠ’¬            ,37.4962,137.2705, 15.86,7.6,45292.6738723,  6.59, 11.21
 LAT.=   37.3912
 LON.=  136.8952
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 00
 NS,EW,UD
0.075,-0.011,0.004
0.081,-0.010,0.004
0.084,-0.012,0.007
0.084,-0.015,0.008
0.084,-0.018,0.008
0.082,-0.021,0.004
0.079,-0.023,-0.001
0.076,-0.025,-0.004
0.073,-0.030,-0.006
0.071,-0.035,-0.005
0.070,-0.038,-0.004
0.069,-0.039,0.000
0.067,-0.037,0.004
0.065,-0.038,0.006
0.061,-0.041,0.005
0.054,-0.045,0.001
0.045,-0.046,-0.002
0.038,-0.043,-0.002
0.032,-0.035,-0.002
0.027,-0.025,-0.004
0.021,-0.020,-0.009
0.012,-0.016,-0.012
0.002,-0.015,-0.011
-0.005,-0.012,-0.005
-0.007,-0.007,0.000
-0.007,-0.003,0.001
-0.006,0.001,-0.003
-0.007,0.004,-0.010
-0.009,0.007,-0.015
-0.012,0.013,-0.018
-0.016,0.022,-0.019
-0.023,0.032,-0.021
-0.030,0.043,-0.024
-0.038,0.049,-0.027
-0.045,0.052,-0.027
-0.047,0.052,-0.023
-0.047,0.050,-0.017
-0.045,0.049,-0.013
-0.042,0.048,-0.014
-0.040,0.048,-0.018
-0.037,0.047,-0.023
-0.033,0.047,-0.024
-0.029,0.049,-0.023
-0.026,0.052,-0.021
-0.023,0.055,-0.020
-0.023,0.055,-0.019
-0.024,0.052,-0.017
-0.026,0.046,-0.016
-0.027,0.040,-0.019
-0.028,0.037,-0.023
-0.028,0.038,-0.025
-0.027,0.041,-0.027
-0.029,0.044,-0.025
-0.032,0.046,-0.023
-0.036,0.047,-0.019
-0.037,0.049,-0.016
-0.034,0.053,-0.014
-0.029,0.057,-0.014
-0.024,0.059,-0.018
-0.020,0.060,-0.020
-0.016,0.059,-0.018
-0.014,0.058,-0.013
-0.012,0.055,-0.007
-0.010,0.049,-0.007
-0.009,0.039,-0.009
-0.007,0.025,-0.012
-0.006,0.014,-0.013
-0.004,0.009,-0.011
0.002,0.009,-0.007
0.008,0.012,-0.002
0.013,0.012,0.002
0.015,0.009,0.003
0.016,0.002,0.001
0.017,-0.002,0.001
0.021,-0.005,0.004
0.025,-0.003,0.008
0.029,-0.001,0.009
0.030,-0.002,0.006
0.031,-0.005,0.001
0.032,-0.011,-0.004
0.036,-0.018,-0.007
0.041,-0.023,-0.011
0.046,-0.029,-0.015
0.050,-0.033,-0.018
0.054,-0.038,-0.016
0.057,-0.041,-0.011
0.060,-0.039,-0.005
0.062,-0.032,-0.002
0.065,-0.025,0.000
0.067,-0.021,0.001
0.069,-0.020,0.002
0.070,-0.022,0.003
0.070,-0.025,0.003
0.069,-0.027,0.004
0.068,-0.029,0.005
0.065,-0.032,0.008
0.063,-0.040,0.009
0.059,-0.048,0.010
0.055,-0.056,0.009
0.051,-0.064,0.007
0.047,-0.068,0.005
0.042,-0.071,0.003
0.036,-0.071,0.004
0.028,-0.071,0.006
0.023,-0.073,0.011
0.018,-0.074,0.016
0.015,-0.073,0.019
0.009,-0.070,0.018
0.003,-0.065,0.016
-0.002,-0.059,0.014
-0.005,-0.054,0.016
-0.007,-0.050,0.020
-0.007,-0.044,0.023
-0.007,-0.036,0.023
-0.006,-0.030,0.022
-0.005,-0.024,0.020
-0.004,-0.020,0.020
-0.004,-0.016,0.021
-0.004,-0.010,0.023
-0.003,-0.002,0.025
-0.004,0.007,0.028
-0.004,0.017,0.029
-0.007,0.023,0.029
-0.011,0.026,0.027
-0.015,0.027,0.025
-0.020,0.030,0.028
-0.023,0.035,0.032
-0.023,0.045,0.034
-0.024,0.054,0.029
-0.025,0.059,0.022
-0.029,0.059,0.017
-0.036,0.055,0.017
-0.042,0.051,0.023
-0.046,0.049,0.028
-0.050,0.049,0.029
-0.053,0.048,0.029
-0.058,0.047,0.028
-0.064,0.043,0.027
-0.066,0.039,0.026
-0.066,0.035,0.023
-0.064,0.030,0.020
-0.062,0.024,0.018
-0.060,0.018,0.018
-0.058,0.014,0.018
-0.054,0.014,0.017
-0.048,0.016,0.015
-0.041,0.017,0.012
-0.038,0.015,0.009
-0.038,0.009,0.007
-0.038,0.001,0.003
-0.037,-0.005,0.002
-0.033,-0.008,0.003
-0.026,-0.007,0.005
-0.021,-0.007,0.007
-0.020,-0.011,0.004
-0.022,-0.018,0.000
-0.025,-0.027,-0.004
-0.026,-0.033,-0.004
-0.024,-0.037,-0.002
-0.020,-0.039,0.002
-0.016,-0.041,0.003
-0.016,-0.046,0.001
-0.020,-0.053,-0.002
-0.023,-0.057,-0.003
-0.023,-0.059,-0.003
-0.020,-0.057,0.000
-0.016,-0.055,0.002
-0.013,-0.053,0.001
-0.012,-0.053,-0.002
-0.011,-0.052,-0.004
-0.009,-0.048,-0.004
-0.006,-0.043,-0.003
-0.002,-0.037,-0.003
0.000,-0.034,-0.007
0.002,-0.033,-0.012
0.004,-0.033,-0.015
0.005,-0.033,-0.014
0.007,-0.030,-0.011
0.009,-0.027,-0.007
0.012,-0.024,-0.009
0.015,-0.023,-0.012
0.018,-0.021,-0.013
0.019,-0.017,-0.014
0.020,-0.009,-0.014
0.023,-0.000,-0.014
0.026,0.008,-0.017
0.027,0.014,-0.020
0.025,0.016,-0.024
0.020,0.016,-0.025
0.014,0.017,-0.021
0.011,0.020,-0.013
0.012,0.025,-0.004
0.014,0.029,0.000
0.015,0.032,-0.004
0.011,0.035,-0.012
0.005,0.039,-0.016
0.001,0.047,-0.012
0.000,0.055,-0.004
0.001,0.061,0.003
0.003,0.062,0.005
0.004,0.062,0.004
0.006,0.061,0.001
0.009,0.062,-0.003
0.013,0.066,-0.009
0.015,0.068,-0.016
0.014,0.068,-0.021
0.010,0.066,-0.020
0.006,0.064,-0.016
0.007,0.065,-0.012
0.009,0.069,-0.011
0.012,0.071,-0.012
0.012,0.070,-0.014
0.010,0.064,-0.015
0.006,0.055,-0.014
0.002,0.048,-0.014
-0.001,0.044,-0.013
-0.004,0.041,-0.011
-0.007,0.037,-0.007
-0.009,0.032,-0.004
-0.010,0.027,-0.004
-0.010,0.024,-0.006
-0.010,0.023,-0.008
-0.009,0.023,-0.009
-0.007,0.022,-0.009
-0.007,0.019,-0.009
-0.007,0.014,-0.011
-0.007,0.006,-0.012
-0.006,-0.001,-0.011
-0.003,-0.006,-0.011
0.000,-0.007,-0.013
0.002,-0.005,-0.019
0.002,-0.005,-0.023
0.002,-0.004,-0.023
0.003,-0.004,-0.021
0.007,-0.002,-0.021
0.012,0.002,-0.022
0.018,0.003,-0.025
0.021,0.001,-0.027
0.022,-0.004,-0.027
0.021,-0.010,-0.027
0.020,-0.015,-0.025
0.020,-0.018,-0.024
0.022,-0.019,-0.022
0.026,-0.022,-0.020
0.029,-0.027,-0.020
0.032,-0.034,-0.018
0.035,-0.039,-0.013
0.037,-0.042,-0.008
0.041,-0.043,-0.004
0.044,-0.045,-0.005
0.046,-0.051,-0.010
0.046,-0.058,-0.014
0.045,-0.065,-0.016
0.045,-0.066,-0.014
0.045,-0.062,-0.012
0.048,-0.055,-0.011
0.052,-0.048,-0.011
0.055,-0.043,-0.009
0.057,-0.038,-0.005
0.059,-0.034,-0.002
0.061,-0.029,0.001
0.062,-0.022,0.001
0.062,-0.016,0.001
0.059,-0.012,0.004
0.053,-0.010,0.008
0.048,-0.006,0.011
0.046,-0.001,0.012
0.048,0.007,0.013
0.050,0.015,0.014
0.048,0.020,0.014
0.043,0.021,0.012
0.040,0.020,0.009
0.039,0.020,0.008
0.041,0.024,0.012
0.045,0.029,0.016
0.045,0.034,0.016
